name,year,genre,runtime,rating,num_votes,revenue,director,actor1,actor2,actor3,rated
avatar,2009,Action,162,7.9,720569,761000000.0,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,PG_13
titanic,1997,Drama,194,7.7,623840,659000000.0,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,PG_13
titanic,1953,Drama,98,7.3,4417,659000000.0,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,PG_13
the avengers,2012,Action,143,8.2,736271,623000000.0,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,PG_13
the avengers,1998,Action,89,3.6,32763,623000000.0,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,PG_13
the dark knight,2008,Action,152,9,1296905,533000000.0,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,PG_13
star wars: episode i - the phantom menace,1999,Action,136,6.6,409253,475000000.0,George Lucas,Ewan McGregor,Liam Neeson,Natalie Portman,PG
star wars,1977,Action,121,8.7,692548,461000000.0,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,PG
the dark knight rises,2012,Action,165,8.6,867746,448000000.0,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,PG_13
shrek 2,2004,Animation,93,7.3,248737,436000000.0,Andrew Adamson,Kelly Asbury,Mike Myers,Eddie Murphy,PG
the hunger games: catching fire,2013,Adventure,146,7.7,364993,425000000.0,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,PG_13
the lion king,1994,Animation,89,8.5,468075,423000000.0,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,G
toy story 3,2010,Animation,103,8.4,404714,415000000.0,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,G
iron man 3,2013,Action,130,7.3,417735,409000000.0,Shane Black,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,PG_13
the hunger games,2012,Adventure,142,7.3,555583,408000000.0,Gary Ross,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,PG_13
spider-man,2002,Action,121,7.3,435421,404000000.0,Sam Raimi,Tobey Maguire,Kirsten Dunst,Willem Dafoe,PG_13
jurassic park,1993,Adventure,127,8,429097,402000000.0,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,PG_13
transformers: revenge of the fallen,2009,Action,150,6,266425,402000000.0,Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel,PG_13
frozen,2013,Animation,102,7.7,285037,401000000.0,Chris Buck,Jennifer Lee,Kristen Bell,Idina Menzel,PG
frozen,2010,Drama,93,6.2,44419,401000000.0,Chris Buck,Jennifer Lee,Kristen Bell,Idina Menzel,PG
harry potter and the deathly hallows: part 2,2011,Adventure,130,8.1,399592,381000000.0,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,PG_13
finding nemo,2003,Animation,100,8.2,509030,381000000.0,Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,G
star wars: episode iii - revenge of the sith,2005,Action,140,7.7,395795,380000000.0,George Lucas,Hayden Christensen,Natalie Portman,Ewan McGregor,PG_13
