name	year	genre	runtime	rating	num_votes	img_src	revenue	director	actor1	actor2	actor3	rated
avatar	2009	Action	162	7.9	724228	http://ia.media-imdb.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1._SX54_CR0,0,54,74_.jpg	7.61e+08	James Cameron	Sam Worthington	Zoe Saldana	Sigourney Weaver	PG_13
titanic	1997	Drama	194	7.7	627387	http://ia.media-imdb.com/images/M/MV5BMjExNzM0NDM0N15BMl5BanBnXkFtZTcwMzkxOTUwNw@@._V1._SX54_CR0,0,54,74_.jpg	6.59e+08	James Cameron	Leonardo DiCaprio	Kate Winslet	Billy Zane	PG_13
titanic	1953	Drama	98	7.3	4425	http://ia.media-imdb.com/images/M/MV5BMTU3NTUyMTc3Nl5BMl5BanBnXkFtZTgwOTA2MDE3MTE@._V1._SX54_CR0,0,54,74_.jpg	6.59e+08	James Cameron	Leonardo DiCaprio	Kate Winslet	Billy Zane	PG_13
the avengers	2012	Action	143	8.2	740876	http://ia.media-imdb.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1._SX54_CR0,0,54,74_.jpg	6.23e+08	Joss Whedon	Robert Downey Jr.	Chris Evans	Scarlett Johansson	PG_13
the avengers	1998	Action	89	3.6	32803	http://ia.media-imdb.com/images/M/MV5BMjA3NzcxODYzNV5BMl5BanBnXkFtZTcwOTcwOTcxMQ@@._V1._SX54_CR0,0,54,74_.jpg	6.23e+08	Joss Whedon	Robert Downey Jr.	Chris Evans	Scarlett Johansson	PG_13
the dark knight	2008	Action	152	9	1305410	http://ia.media-imdb.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1._SX54_CR0,0,54,74_.jpg	5.33e+08	Christopher Nolan	Christian Bale	Heath Ledger	Aaron Eckhart	PG_13
star wars: episode i - the phantom menace	1999	Action	136	6.6	411082	http://ia.media-imdb.com/images/M/MV5BMTQ4NjEwNDA2Nl5BMl5BanBnXkFtZTcwNDUyNDQzNw@@._V1._SX54_CR0,0,54,74_.jpg	4.75e+08	George Lucas	Ewan McGregor	Liam Neeson	Natalie Portman	PG
star wars	1977	Action	121	8.7	695875	http://ia.media-imdb.com/images/M/MV5BMTU4NTczODkwM15BMl5BanBnXkFtZTcwMzEyMTIyMw@@._V1._SX54_CR0,0,54,74_.jpg	4.61e+08	George Lucas	Mark Hamill	Harrison Ford	Carrie Fisher	PG
the dark knight rises	2012	Action	165	8.6	873844	http://ia.media-imdb.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1._SX54_CR0,0,54,74_.jpg	4.48e+08	Christopher Nolan	Christian Bale	Tom Hardy	Anne Hathaway	PG_13
shrek 2	2004	Animation	93	7.3	249838	http://ia.media-imdb.com/images/M/MV5BMTk4MTMwNjI4M15BMl5BanBnXkFtZTcwMjExMzUyMQ@@._V1._SX54_CR0,0,54,74_.jpg	4.36e+08	Andrew Adamson	Kelly Asbury	Mike Myers	Eddie Murphy	PG
the hunger games: catching fire	2013	Adventure	146	7.7	370271	http://ia.media-imdb.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1._SX54_CR0,0,54,74_.jpg	4.25e+08	Francis Lawrence	Jennifer Lawrence	Josh Hutcherson	Liam Hemsworth	PG_13
the lion king	1994	Animation	89	8.5	471198	http://ia.media-imdb.com/images/M/MV5BMjEyMzgwNTUzMl5BMl5BanBnXkFtZTcwNTMxMzM3Ng@@._V1._SY74_CR1,0,54,74_.jpg	4.23e+08	Roger Allers	Rob Minkoff	Matthew Broderick	Jeremy Irons	G
toy story 3	2010	Animation	103	8.4	407224	http://ia.media-imdb.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1._SX54_CR0,0,54,74_.jpg	4.15e+08	Lee Unkrich	Tom Hanks	Tim Allen	Joan Cusack	G
iron man 3	2013	Action	130	7.3	420523	http://ia.media-imdb.com/images/M/MV5BMjIzMzAzMjQyM15BMl5BanBnXkFtZTcwNzM2NjcyOQ@@._V1._SX54_CR0,0,54,74_.jpg	4.09e+08	Shane Black	Robert Downey Jr.	Guy Pearce	Gwyneth Paltrow	PG_13
the hunger games	2012	Adventure	142	7.3	560224	http://ia.media-imdb.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1._SX54_CR0,0,54,74_.jpg	4.08e+08	Gary Ross	Jennifer Lawrence	Josh Hutcherson	Liam Hemsworth	PG_13
spider-man	2002	Action	121	7.3	437498	http://ia.media-imdb.com/images/M/MV5BMzk3MTE5MDU5NV5BMl5BanBnXkFtZTYwMjY3NTY3._V1._SX54_CR0,0,54,74_.jpg	4.04e+08	Sam Raimi	Tobey Maguire	Kirsten Dunst	Willem Dafoe	PG_13
jurassic park	1993	Adventure	127	8	431845	http://ia.media-imdb.com/images/M/MV5BMjQzODQyMzk2Nl5BMl5BanBnXkFtZTcwNTg4MjQ3OA@@._V1._SX54_CR0,0,54,74_.jpg	4.02e+08	Steven Spielberg	Sam Neill	Laura Dern	Jeff Goldblum	PG_13
transformers: revenge of the fallen	2009	Action	150	6	267645	http://ia.media-imdb.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1._SX54_CR0,0,54,74_.jpg	4.02e+08	Michael Bay	Shia LaBeouf	Megan Fox	Josh Duhamel	PG_13
frozen	2013	Animation	102	7.7	288870	http://ia.media-imdb.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1._SX54_CR0,0,54,74_.jpg	4.01e+08	Chris Buck	Jennifer Lee	Kristen Bell	Idina Menzel	PG
frozen	2010	Drama	93	6.2	44554	http://ia.media-imdb.com/images/M/MV5BMTc5MTg0ODgxMF5BMl5BanBnXkFtZTcwODEzOTYwMw@@._V1._SX54_CR0,0,54,74_.jpg	4.01e+08	Chris Buck	Jennifer Lee	Kristen Bell	Idina Menzel	PG
harry potter and the deathly hallows: part 2	2011	Adventure	130	8.1	402273	http://ia.media-imdb.com/images/M/MV5BMTY2MTk3MDQ1N15BMl5BanBnXkFtZTcwMzI4NzA2NQ@@._V1._SX54_CR0,0,54,74_.jpg	3.81e+08	David Yates	Daniel Radcliffe	Emma Watson	Rupert Grint	PG_13
finding nemo	2003	Animation	100	8.2	512136	http://ia.media-imdb.com/images/M/MV5BMTY1MTg1NDAxOV5BMl5BanBnXkFtZTcwMjg1MDI5Nw@@._V1._SX54_CR0,0,54,74_.jpg	3.81e+08	Andrew Stanton	Lee Unkrich	Albert Brooks	Ellen DeGeneres	G
star wars: episode iii - revenge of the sith	2005	Action	140	7.7	397663	http://ia.media-imdb.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1._SY74_CR1,0,54,74_.jpg	3.8e+08	George Lucas	Hayden Christensen	Natalie Portman	Ewan McGregor	PG_13
