The Shawshank Redemption,1994,Crime,142,9.3,1328470
The Dark Knight,2008,Action,152,9.0,1296905
Inception,2010,Action,148,8.8,1087316
Pulp Fiction,1994,Crime,154,9.0,1024432
Fight Club,1999,Drama,139,8.9,1021409
The Lord of the Rings: The Fellowship of the Ring,2001,Adventure,178,8.8,970912
The Lord of the Rings: The Return of the King,2003,Adventure,201,8.9,945408
The Matrix,1999,Action,136,8.7,942576
Forrest Gump,1994,Drama,142,8.8,920518
The Godfather,1972,Crime,175,9.2,915900
The Dark Knight Rises,2012,Action,165,8.6,867746
The Lord of the Rings: The Two Towers,2002,Adventure,179,8.8,850603
Se7en,1995,Drama,127,8.7,780257
Gladiator,2000,Action,155,8.5,749250
Batman Begins,2005,Action,140,8.3,740213
The Avengers,2012,Action,143,8.2,736271
Avatar,2009,Action,162,7.9,720569
Star Wars,1977,Action,121,8.7,692548
Django Unchained,2012,Western,165,8.5,676422
Saving Private Ryan,1998,Action,169,8.6,673306
The Departed,2006,Crime,151,8.5,671537
Schindler&#x27;s List,1993,Biography,195,8.9,671368
Memento,2000,Mystery,113,8.5,671049
The Silence of the Lambs,1991,Crime,118,8.6,664007
American Beauty,1999,Drama,122,8.5,661054
Inglourious Basterds,2009,Adventure,153,8.3,644118
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Action,143,8.1,637141
The Prestige,2006,Drama,130,8.5,636115
Titanic,1997,Drama,194,7.7,623840
V for Vendetta,2005,Action,132,8.2,623186
Star Wars: Episode V - The Empire Strikes Back,1980,Action,124,8.8,623102
American History X,1998,Crime,119,8.6,615664
The Godfather: Part II,1974,Crime,200,9.1,609891
The Usual Suspects,1995,Crime,106,8.7,583214
Terminator 2: Judgment Day,1991,Action,137,8.5,581908
Braveheart,1995,Action,177,8.4,579836
Goodfellas,1990,Biography,146,8.7,573421
The Green Mile,1999,Crime,189,8.5,573127
Shutter Island,2010,Mystery,138,8.1,571654
Kill Bill: Vol. 1,2003,Action,111,8.2,569597
The Sixth Sense,1999,Drama,107,8.2,568428
L&#xE9;on: The Professional,1994,Crime,110,8.6,560701
The Hunger Games,2012,Adventure,142,7.3,555583
